TransactionID,Type,Items
MF001,Manufacturing_Failure,"['Motor_Fail', 'Vibration', 'Hydraulic_Leak']"
MF002,Manufacturing_Failure,"['Overheat', 'Bearing_Wear', 'Sensor_Error', 'Vibration']"
MF003,Manufacturing_Failure,"['Motor_Fail', 'Power_Surge', 'Bearing_Wear', 'Cooling_Fail', 'Seal_Damage', 'Vibration']"
MF004,Manufacturing_Failure,"['Sensor_Error', 'Hydraulic_Leak', 'Seal_Damage']"
MF005,Manufacturing_Failure,"['Cooling_Fail', 'Vibration', 'Motor_Fail', 'Seal_Damage']"
MF006,Manufacturing_Failure,"['Seal_Damage', 'Control_Error', 'Vibration', 'Bearing_Wear']"
MF007,Manufacturing_Failure,"['Control_Error', 'Bearing_Wear', 'Sensor_Error', 'Hydraulic_Leak']"
MF008,Manufacturing_Failure,"['Control_Error', 'Power_Surge', 'Vibration']"
MF009,Manufacturing_Failure,"['Cooling_Fail', 'Sensor_Error', 'Bearing_Wear']"
MF010,Manufacturing_Failure,"['Bearing_Wear', 'Sensor_Error', 'Vibration', 'Seal_Damage', 'Control_Error', 'Cooling_Fail']"
MF011,Manufacturing_Failure,"['Power_Surge', 'Hydraulic_Leak', 'Bearing_Wear', 'Motor_Fail', 'Control_Error']"
MF012,Manufacturing_Failure,"['Vibration', 'Bearing_Wear', 'Hydraulic_Leak', 'Seal_Damage']"
MF013,Manufacturing_Failure,"['Seal_Damage', 'Vibration', 'Cooling_Fail']"
MF014,Manufacturing_Failure,"['Overheat', 'Control_Error', 'Sensor_Error', 'Bearing_Wear', 'Cooling_Fail']"
MF015,Manufacturing_Failure,"['Bearing_Wear', 'Overheat', 'Hydraulic_Leak', 'Power_Surge', 'Cooling_Fail']"
MF016,Manufacturing_Failure,"['Vibration', 'Sensor_Error', 'Hydraulic_Leak', 'Control_Error', 'Overheat', 'Motor_Fail']"
MF017,Manufacturing_Failure,"['Motor_Fail', 'Control_Error', 'Seal_Damage', 'Overheat']"
MF018,Manufacturing_Failure,"['Hydraulic_Leak', 'Control_Error', 'Power_Surge']"
MF019,Manufacturing_Failure,"['Seal_Damage', 'Cooling_Fail', 'Overheat', 'Sensor_Error', 'Bearing_Wear', 'Control_Error']"
MF020,Manufacturing_Failure,"['Power_Surge', 'Seal_Damage', 'Sensor_Error', 'Overheat', 'Bearing_Wear']"
SD001,Service_Delay,"['Payment_Hold', 'Transport_Issue']"
SD002,Service_Delay,"['Batch_Size_Large', 'Supplier_Delay']"
SD003,Service_Delay,"['Approval_Wait', 'Holiday_Backlog']"
SD004,Service_Delay,"['Supplier_Delay', 'Holiday_Backlog', 'System_Issue', 'Data_Error']"
SD005,Service_Delay,"['Payment_Hold', 'Data_Error', 'Transport_Issue']"
SD006,Service_Delay,"['Supplier_Delay', 'Data_Error']"
SD007,Service_Delay,"['Staff_Shortage', 'Supplier_Delay', 'Approval_Wait', 'System_Issue']"
SD008,Service_Delay,"['Transport_Issue', 'Batch_Size_Large']"
SD009,Service_Delay,"['Data_Error', 'Approval_Wait', 'Payment_Hold', 'Batch_Size_Large']"
SD010,Service_Delay,"['Data_Error', 'System_Issue', 'Supplier_Delay', 'Approval_Wait']"
SD011,Service_Delay,"['Payment_Hold', 'Batch_Size_Large']"
SD012,Service_Delay,"['Staff_Shortage', 'Transport_Issue', 'Batch_Size_Large', 'Holiday_Backlog']"
SD013,Service_Delay,"['Data_Error', 'System_Issue', 'Batch_Size_Large']"
SD014,Service_Delay,"['Supplier_Delay', 'Payment_Hold']"
SD015,Service_Delay,"['Transport_Issue', 'Supplier_Delay', 'Holiday_Backlog', 'Data_Error']"
SD016,Service_Delay,"['Approval_Wait', 'Transport_Issue']"
SD017,Service_Delay,"['Approval_Wait', 'Data_Error', 'Transport_Issue', 'Holiday_Backlog']"
SD018,Service_Delay,"['System_Issue', 'Payment_Hold', 'Staff_Shortage']"
SD019,Service_Delay,"['Holiday_Backlog', 'Staff_Shortage', 'System_Issue']"
SD020,Service_Delay,"['Transport_Issue', 'Supplier_Delay', 'Payment_Hold', 'Holiday_Backlog']"
SD021,Service_Delay,"['Staff_Shortage', 'Batch_Size_Large']"
SD022,Service_Delay,"['Payment_Hold', 'System_Issue', 'Data_Error', 'Supplier_Delay']"
SD023,Service_Delay,"['Supplier_Delay', 'Batch_Size_Large']"
SD024,Service_Delay,"['Supplier_Delay', 'Batch_Size_Large']"
SD025,Service_Delay,"['Supplier_Delay', 'System_Issue', 'Approval_Wait']"
SD026,Service_Delay,"['Transport_Issue', 'System_Issue', 'Data_Error', 'Supplier_Delay']"
SD027,Service_Delay,"['Transport_Issue', 'System_Issue', 'Holiday_Backlog', 'Payment_Hold']"
SD028,Service_Delay,"['System_Issue', 'Supplier_Delay', 'Batch_Size_Large']"
SD029,Service_Delay,"['Holiday_Backlog', 'Staff_Shortage', 'System_Issue', 'Payment_Hold']"
SD030,Service_Delay,"['Batch_Size_Large', 'Supplier_Delay', 'Payment_Hold']"
